Security_Name,NSE_Ticker
STL NETWORKS LIMITED EQ EQ,STLNETWORK
L&T FINANCE LIMITED EQ EQ,LTF
AADHAR HOUSING FINANCE LIMITED EQ EQ,AADHARHFC
ELGI EQUIPMENTS LIMITED EQ F.V RS.1/-,ELGIEQUIP
EMCURE PHARMACEUTICALS LIMITED EQ EQ,EMCURE
GODREJ AGROVET LIMITED EQ EQ,GODREJAGRO
KALPATARU PROJECTS INTERNATIONAL LIMITED EQ NEW F.V RS.2/- EQ NEW F.V RS.2/-,KALPATARU
SANSTAR LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-,SANSTAR
SARASWATI SAREE DEPOT LIMITED EQ EQ,SSDL
VIKRAM SOLAR LIMITED EQ EQ,VIKRAMSOLR
SUPREME PETROCHEM LIMITED EQ NEW FV RE.2/-,SUPREME
CENTRAL BANK OF INDIA EQ EQ,CENTRALBK
SHREE RENUKA SUGARS LIMITED EQ NEW RS.1/-,RENUKA
INDUS TOWERS LIMITED EQ EQ,INDUSTOWER
NALWA SONS INVESTMENTS LIMITED EQ FV RS.10/-,NSIL
GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED EQ NEW FV RS.2/-,GSFC
THE GREAT EASTERN SHIPPING COMPANY LIMITED EQ NEW FV RS.10/-,GESHIP
HDB FINANCIAL SERVICES LIMITED EQ EQ,HDBFS
INDUSIND BANK LTD. EQ EQ,INDUSINDBK
JUBILANT AGRI AND CONSUMER PRODUCTS LIMITED EQ EQ,JUBLCPL
INDIAN BANK EQ EQ,INDIANB
MOTILAL OSWAL FINANCIAL SERVICES LIMITED EQ NEW RS.1/- EQ NEW RS.1/-,MOTILALOFS
TRANSINDIA REAL ESTATE LIMITED EQ NEW FV RS 2/-,TREL
VASCON ENGINEERS LIMITED EQ. EQ.,VASCONEQ
DIVI'S LABORATORIES LIMITED EQ NEW RS. 2/-,DIVISLAB
HEUBACH COLORANTS INDIA LIMITED EQ F V RS 10/-,HEUBACHIND
BANDHAN BANK LIMITED EQ EQ,BANDHANBNK
NORTHERN ARC CAPITAL LIMITED EQ EQ,NORTHARC
AFCONS INFRASTRUCTURE LIMITED EQ EQ,AFCONS
BAJAJ HINDUSTHAN SUGAR LIMITED EQ FV RE. 1/-,BAJAJHIND
MEGHMANI ORGANICS LIMITED EQ NEW Re.1/-,MOL
INDIAN OVERSEAS BANK EQ EQ,IOB
PIRAMAL PHARMA LIMITED EQ EQ,PPLPHARMA
VRL LOGISTICS LIMITED EQ EQ,VRLLOG
ANTHEM BIOSCIENCES LIMITED EQ NEW FV Rs. 2/- EQ NEW FV Rs. 2/-,ANTHEM
JSW CEMENT LIMITED EQ EQ,JSWCEMENT
HYUNDAI MOTOR INDIA LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,HYUNDAI
ESSAR SHIPPING LIMITED EQ EQ,ESSARSHPNG
MANALI PETROCHEMICAL LIMITED EQ NEW FV RS. 5/-,MANALIPETC
MAX FINANCIAL SERVICES LIMITED EQ NEW FV RS. 2/-,MFSL
BELRISE INDUSTRIES LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,BELRISE
ODIGMA CONSULTANCY SOLUTIONS LIMITED EQ EQ,ODIGMA
REGAAL RESOURCES LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,REGAAL
